#,Event,Date,Venue,Location,Attendance
514,UFC 249: Ferguson vs. Gaethje,"May 9, 2020",,,
—,UFC Fight Night: Hermansson vs. Weidman,"May 2, 2020",Chesapeake Energy Arena,"Oklahoma City, Oklahoma, U.S.",Cancelled
—,UFC Fight Night: Smith vs. Teixeira,"Apr 25, 2020",Pinnacle Bank Arena,"Lincoln, Nebraska, U.S.",
—,UFC Fight Night: Overeem vs. Harris,"Apr 11, 2020",Moda Center,"Portland, Oregon, U.S.",
—,UFC on ESPN: Ngannou vs. Rozenstruik,"Mar 28, 2020",Nationwide Arena,"Columbus, Ohio, U.S.",
—,UFC Fight Night: Woodley vs. Edwards,"Mar 21, 2020",The O2 Arena,"London, England, U.K.",
513,UFC Fight Night: Lee vs. Oliveira,"Mar 14, 2020",Ginásio Nilson Nelson,"Brasília, Brazil",0
512,UFC 248: Adesanya vs. Romero,"Mar 7, 2020",T-Mobile Arena,"Las Vegas, Nevada, U.S.","15,077"
511,UFC Fight Night: Benavidez vs. Figueiredo,"Feb 29, 2020",Chartway Arena,"Norfolk, Virginia, U.S.","7,098"
510,UFC Fight Night: Felder vs. Hooker,"Feb 23, 2020",Spark Arena,"Auckland, New Zealand","10,025"
509,UFC Fight Night: Anderson vs. Błachowicz 2,"Feb 15, 2020",Santa Ana Star Center,"Rio Rancho, New Mexico, U.S.","6,449"
508,UFC 247: Jones vs. Reyes,"Feb 8, 2020",Toyota Center,"Houston, Texas, U.S.","17,401"
507,UFC Fight Night: Blaydes vs. dos Santos,"Jan 25, 2020",PNC Arena,"Raleigh, North Carolina, U.S.","14,533"
506,UFC 246: McGregor vs. Cowboy,"Jan 18, 2020",T-Mobile Arena,"Las Vegas, Nevada, U.S.","19,040"
505,UFC Fight Night: Edgar vs. The Korean Zombie,"Dec 21, 2019",Sajik Arena,"Busan, South Korea","10,651"
504,UFC 245: Usman vs. Covington,"Dec 14, 2019",T-Mobile Arena,"Las Vegas, Nevada, U.S.","16,811"
503,UFC on ESPN: Overeem vs. Rozenstruik,"Dec 7, 2019",Capital One Arena,"Washington, D.C., U.S.","10,816"
502,UFC Fight Night: Błachowicz vs. Jacaré,"Nov 16, 2019",Ginásio do Ibirapuera,"São Paulo, Brazil","10,344"
501,UFC Fight Night: Magomedsharipov vs. Kattar,"Nov 9, 2019",CSKA Arena,"Moscow, Russia","11,305"
500,UFC 244: Masvidal vs. Diaz,"Nov 2, 2019",Madison Square Garden,"New York City, New York, U.S.","20,143"
499,UFC Fight Night: Maia vs. Askren,"Oct 26, 2019",Singapore Indoor Stadium,"Kallang, Singapore","7,155"
498,UFC on ESPN: Reyes vs. Weidman,"Oct 18, 2019",TD Garden,"Boston, Massachusetts, U.S.","12,066"
497,UFC Fight Night: Joanna vs. Waterson,"Oct 12, 2019",Amalie Arena,"Tampa, Florida, U.S.","10,597"
496,UFC 243: Whittaker vs. Adesanya,"Oct 5, 2019",Marvel Stadium,"Melbourne, Australia","57,127"
495,UFC Fight Night: Hermansson vs. Cannonier,"Sep 28, 2019",Royal Arena,"Copenhagen, Denmark","12,767"
494,UFC Fight Night: Rodríguez vs. Stephens,"Sep 21, 2019",Arena Ciudad de México,"Mexico City, Mexico","10,112"
493,UFC Fight Night: Cowboy vs. Gaethje,"Sep 14, 2019",Rogers Arena,"Vancouver, British Columbia, Canada","15,114"
492,UFC 242: Khabib vs. Poirier,"Sep 7, 2019","The Arena, Yas Island","Abu Dhabi, United Arab Emirates",N/A
491,UFC Fight Night: Andrade vs. Zhang,"Aug 31, 2019",Shenzhen Universiade Sports Centre,"Shenzhen, China","10,302"
490,UFC 241: Cormier vs. Miocic 2,"Aug 17, 2019",Honda Center,"Anaheim, California, U.S.","17,304"
489,UFC Fight Night: Shevchenko vs. Carmouche 2,"Aug 10, 2019",Antel Arena,"Montevideo, Uruguay","9,225"
488,UFC on ESPN: Covington vs. Lawler,"Aug 3, 2019",Prudential Center,"Newark, New Jersey, U.S.","10,427"
487,UFC 240: Holloway vs. Edgar,"Jul 27, 2019",Rogers Place,"Edmonton, Alberta, Canada","12,144"
486,UFC on ESPN: dos Anjos vs. Edwards,"Jul 20, 2019",AT&T Center,"San Antonio, Texas, U.S.","9,255"
485,UFC Fight Night: de Randamie vs. Ladd,"Jul 13, 2019",Golden 1 Center,"Sacramento, California, U.S.","10,306"
484,UFC 239: Jones vs. Santos,"Jul 6, 2019",T-Mobile Arena,"Las Vegas, Nevada, U.S.","18,358"
483,UFC on ESPN: Ngannou vs. dos Santos,"Jun 29, 2019",Target Center,"Minneapolis, Minnesota, U.S.","10,123"
482,UFC Fight Night: Moicano vs. The Korean Zombie,"Jun 22, 2019",Bon Secours Wellness Arena,"Greenville, South Carolina, U.S.","7,682"
481,UFC 238: Cejudo vs. Moraes,"Jun 8, 2019",United Center,"Chicago, Illinois, U.S.","16,083"
480,UFC Fight Night: Gustafsson vs. Smith,"Jun 1, 2019",Ericsson Globe,"Stockholm, Sweden","14,319"
479,UFC Fight Night: dos Anjos vs. Lee,"May 18, 2019",Blue Cross Arena,"Rochester, New York, U.S.","8,132"
478,UFC 237: Namajunas vs. Andrade,"May 11, 2019",Jeunesse Arena,"Rio de Janeiro, Brazil","15,193"
477,UFC Fight Night: Iaquinta vs. Cowboy,"May 4, 2019",Canadian Tire Centre,"Ottawa, Ontario, Canada","10,960"
476,UFC Fight Night: Jacaré vs. Hermansson,"Apr 27, 2019",BB&T Center,"Sunrise, Florida, U.S.","12,754"
475,UFC Fight Night: Overeem vs. Oleinik,"Apr 20, 2019",Yubileyny Sports Palace,"Saint Petersburg, Russia","7,236"
474,UFC 236: Holloway vs. Poirier 2,"Apr 13, 2019",State Farm Arena,"Atlanta, Georgia, U.S.","14,297"
473,UFC on ESPN: Barboza vs. Gaethje,"Mar 30, 2019",Wells Fargo Center,"Philadelphia, Pennsylvania, U.S.","11,123"
472,UFC Fight Night: Thompson vs. Pettis,"Mar 23, 2019",Bridgestone Arena,"Nashville, Tennessee, U.S.","10,863"
471,UFC Fight Night: Till vs. Masvidal,"Mar 16, 2019",The O2 Arena,"London, England, U.K.","16,602"
470,UFC Fight Night: Lewis vs. dos Santos,"Mar 9, 2019",Intrust Bank Arena,"Wichita, Kansas, U.S.","7,265"
469,UFC 235: Jones vs. Smith,"Mar 2, 2019",T-Mobile Arena,"Las Vegas, Nevada, U.S","14,790"
468,UFC Fight Night: Błachowicz vs. Santos,"Feb 23, 2019",O2 arena,"Prague, Czech Republic","16,583"
467,UFC on ESPN: Ngannou vs. Velasquez,"Feb 17, 2019",Talking Stick Resort Arena,"Phoenix, Arizona, U.S.","14,269"
466,UFC 234: Adesanya vs. Silva,"Feb 10, 2019",Rod Laver Arena,"Melbourne, Australia","15,238"
465,UFC Fight Night: Assunção vs. Moraes 2,"Feb 2, 2019",Centro de Formação Olímpica do Nordeste,"Fortaleza, Brazil","10,040"
—,UFC 233: Cejudo vs. Dillashaw,"Jan 26, 2019",Honda Center,"Anaheim, California, U.S.",Cancelled
464,UFC Fight Night: Cejudo vs. Dillashaw,"Jan 19, 2019",Barclays Center,"Brooklyn, New York, U.S.","12,152"
463,UFC 232: Jones vs. Gustafsson 2,"Dec 29, 2018",The Forum,"Inglewood, California, U.S.","15,862"
462,UFC on Fox: Lee vs. Iaquinta 2,"Dec 15, 2018",Fiserv Forum,"Milwaukee, Wisconsin, U.S.","9,010"
461,UFC 231: Holloway vs. Ortega,"Dec 8, 2018",Scotiabank Arena,"Toronto, Ontario, Canada","19,039"
460,UFC Fight Night: dos Santos vs. Tuivasa,"Dec 2, 2018",Adelaide Entertainment Centre,"Adelaide, Australia","8,652"
459,The Ultimate Fighter: Heavy Hitters Finale,"Nov 30, 2018",Pearl Theatre,"Las Vegas, Nevada, U.S.","2,020"
458,UFC Fight Night: Blaydes vs. Ngannou 2,"Nov 24, 2018",Cadillac Arena,"Beijing, China","10,302"
457,UFC Fight Night: Magny vs. Ponzinibbio,"Nov 17, 2018",Estadio Mary Terán de Weiss,"Buenos Aires, Argentina","10,245"
456,UFC Fight Night: The Korean Zombie vs. Rodríguez,"Nov 10, 2018",Pepsi Center,"Denver, Colorado, U.S.","11,426"
455,UFC 230: Cormier vs. Lewis,"Nov 3, 2018",Madison Square Garden,"New York City, New York, U.S.","17,011"
454,UFC Fight Night: Volkan vs. Smith,"Oct 27, 2018",Avenir Centre,"Moncton, New Brunswick, Canada","6,282"
453,UFC 229: Khabib vs. McGregor,"Oct 6, 2018",T-Mobile Arena,"Las Vegas, Nevada, U.S","20,034"
452,UFC Fight Night: Santos vs. Anders,"Sep 22, 2018",Ginásio do Ibirapuera,"São Paulo, Brazil","9,485"
451,UFC Fight Night: Hunt vs. Oleinik,"Sep 15, 2018",Olimpiyskiy Stadium,"Moscow, Russia","22,603"
450,UFC 228: Woodley vs. Till,"Sep 8, 2018",American Airlines Center,"Dallas, Texas, U.S.","14,073"
449,UFC Fight Night: Gaethje vs. Vick,"Aug 25, 2018",Pinnacle Bank Arena,"Lincoln, Nebraska, U.S.","6,409"
448,UFC 227: Dillashaw vs. Garbrandt 2,"Aug 4, 2018",Staples Center,"Los Angeles, California, U.S.","17,794"
447,UFC on Fox: Alvarez vs. Poirier 2,"Jul 28, 2018",Scotiabank Saddledome,"Calgary, Alberta, Canada","10,603"
446,UFC Fight Night: Shogun vs. Smith,"Jul 22, 2018",Barclaycard Arena,"Hamburg, Germany","7,798"
445,UFC Fight Night: dos Santos vs. Ivanov,"Jul 14, 2018",CenturyLink Arena,"Boise, Idaho, U.S.","5,648"
444,UFC 226: Miocic vs. Cormier,"Jul 7, 2018",T-Mobile Arena,"Las Vegas, Nevada, U.S","17,464"
443,The Ultimate Fighter: Undefeated Finale,"Jul 6, 2018",Palms Casino Resort,,"2,123"
442,UFC Fight Night: Cowboy vs. Edwards,"Jun 23, 2018",Singapore Indoor Stadium,"Kallang, Singapore","6,419"
441,UFC 225: Whittaker vs. Romero 2,"Jun 9, 2018",United Center,"Chicago, Illinois, U.S.","18,117"
440,UFC Fight Night: Rivera vs. Moraes,"Jun 1, 2018",Adirondack Bank Center,"Utica, New York, U.S.","5,063"
439,UFC Fight Night: Thompson vs. Till,"May 27, 2018",Echo Arena,"Liverpool, England, U.K.","8,520"
438,UFC Fight Night: Maia vs. Usman,"May 19, 2018",Movistar Arena,"Santiago, Chile","11,082"
437,UFC 224: Nunes vs. Pennington,"May 12, 2018",Jeunesse Arena,"Rio de Janeiro, Brazil","10,696"
436,UFC Fight Night: Barboza vs. Lee,"Apr 21, 2018",Boardwalk Hall,"Atlantic City, New Jersey, U.S.","9,541"
435,UFC on Fox: Poirier vs. Gaethje,"Apr 14, 2018",Gila River Arena,"Glendale, Arizona, U.S.","11,382"
434,UFC 223: Khabib vs. Iaquinta,"Apr 7, 2018",Barclays Center,"Brooklyn, New York, U.S.","17,026"
433,UFC Fight Night: Werdum vs. Volkov,"Mar 17, 2018",The O2 Arena,"London, England, U.K.","16,274"
432,UFC 222: Cyborg vs. Kunitskaya,"Mar 3, 2018",T-Mobile Arena,"Las Vegas, Nevada, U.S.","12,041"
431,UFC on Fox: Emmett vs. Stephens,"Feb 24, 2018",Amway Center,"Orlando, Florida, U.S.","10,124"
430,UFC Fight Night: Cowboy vs. Medeiros,"Feb 18, 2018",Frank Erwin Center,"Austin, Texas, U.S.","10,502"
429,UFC 221: Romero vs. Rockhold,"Feb 11, 2018",Perth Arena,"Perth, Australia","12,437"
428,UFC Fight Night: Machida vs. Anders,"Feb 3, 2018",Arena Guilherme Paraense,"Belém, Brazil","10,144"
427,UFC on Fox: Jacaré vs. Brunson 2,"Jan 27, 2018",Spectrum Center,"Charlotte, North Carolina, U.S.","10,249"
426,UFC 220: Miocic vs. Ngannou,"Jan 20, 2018",TD Garden,"Boston, Massachusetts, U.S.","16,015"
425,UFC Fight Night: Stephens vs. Choi,"Jan 14, 2018",Scottrade Center,"St. Louis, Missouri, U.S.","10,052"
424,UFC 219: Cyborg vs. Holm,"Dec 30, 2017",T-Mobile Arena,"Las Vegas, Nevada, U.S.","13,561"
423,UFC on Fox: Lawler vs. dos Anjos,"Dec 16, 2017",Bell MTS Place,"Winnipeg, Manitoba, Canada","8,862"
422,UFC Fight Night: Swanson vs. Ortega,"Dec 9, 2017",Save Mart Center,"Fresno, California, U.S.","7,605"
421,UFC 218: Holloway vs. Aldo 2,"Dec 2, 2017",Little Caesars Arena,"Detroit, Michigan, U.S.","17,587"
420,The Ultimate Fighter: A New World Champion Finale,"Dec 1, 2017",Park Theater,"Las Vegas, Nevada, U.S.",N/A
419,UFC Fight Night: Bisping vs. Gastelum,"Nov 25, 2017",Mercedes-Benz Arena,"Shanghai, China","15,128"
418,UFC Fight Night: Werdum vs. Tybura,"Nov 19, 2017",Qudos Bank Arena,"Sydney, Australia","10,021"
417,UFC Fight Night: Poirier vs. Pettis,"Nov 11, 2017",Ted Constant Convocation Center,"Norfolk, Virginia, U.S.","8,442"
416,UFC 217: Bisping vs. St-Pierre,"Nov 4, 2017",Madison Square Garden,"New York City, New York, U.S.","18,201"
415,UFC Fight Night: Brunson vs. Machida,"Oct 28, 2017",Ginásio do Ibirapuera,"São Paulo, Brazil","10,265"
414,UFC Fight Night: Cowboy vs. Till,"Oct 21, 2017",Ergo Arena,"Gdańsk, Poland","11,138"
