#,Event,Date,Venue,Location,Attendance
350,UFC Fight Night: Silva vs. Bisping,"Feb 27, 2016",The O2 Arena,"London, England, U.K.","16,734"
349,UFC Fight Night: Cowboy vs. Cowboy,"Feb 21, 2016",Consol Energy Center,"Pittsburgh, Pennsylvania, U.S.","7,330"
348,UFC Fight Night: Hendricks vs. Thompson,"Feb 6, 2016",MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","7,422"
347,UFC on Fox: Johnson vs. Bader,"Jan 30, 2016",Prudential Center,"Newark, New Jersey, U.S.","10,555"
346,UFC Fight Night: Dillashaw vs. Cruz,"Jan 17, 2016",TD Garden,"Boston, Massachusetts, U.S.","12,022"
345,UFC 195: Lawler vs. Condit,"Jan 2, 2016",MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","10,300"
344,UFC on Fox: dos Anjos vs. Cowboy 2,"Dec 19, 2015",Amway Center,"Orlando, Florida, U.S.","14,459"
343,UFC 194: Aldo vs. McGregor,"Dec 12, 2015",MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","16,516"
342,The Ultimate Fighter: Team McGregor vs. Team Faber Finale,"Dec 11, 2015",The Chelsea at The Cosmopolitan,,"2,566"
341,UFC Fight Night: Namajunas vs. VanZant,"Dec 10, 2015",,,"1,643"
340,UFC Fight Night: Henderson vs. Masvidal,"Nov 28, 2015",Olympic Gymnastics Arena,"Seoul, South Korea","12,156"
339,The Ultimate Fighter Latin America 2 Finale: Magny vs. Gastelum,"Nov 21, 2015",Arena Monterrey,"Monterrey, Mexico","10,410"
338,UFC 193: Rousey vs. Holm,"Nov 15, 2015",Etihad Stadium,"Melbourne, Australia","56,214"
337,UFC Fight Night: Belfort vs. Henderson 3,"Nov 7, 2015",Ginásio do Ibirapuera,"São Paulo, Brazil","10,628"
336,UFC Fight Night: Holohan vs. Smolka,"Oct 24, 2015",3Arena,"Dublin, Ireland","9,500"
335,UFC 192: Cormier vs. Gustafsson,"Oct 3, 2015",Toyota Center,"Houston, Texas, U.S.","14,622"
334,UFC Fight Night: Barnett vs. Nelson,"Sep 27, 2015",Saitama Super Arena,"Saitama, Japan","10,137"
333,UFC 191: Johnson vs. Dodson 2,"Sep 5, 2015",MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","10,873"
332,UFC Fight Night: Holloway vs. Oliveira,"Aug 23, 2015",SaskTel Centre,"Saskatoon, Saskatchewan, Canada","7,202"
331,UFC Fight Night: Teixeira vs. Saint Preux,"Aug 8, 2015",Bridgestone Arena,"Nashville, Tennessee, U.S.","7,539"
330,UFC 190: Rousey vs. Correia,"Aug 1, 2015",HSBC Arena,"Rio de Janeiro, Brazil","14,723"
329,UFC on Fox: Dillashaw vs. Barão 2,"Jul 25, 2015",United Center,"Chicago, Illinois, U.S.","11,663"
328,UFC Fight Night: Bisping vs. Leites,"Jul 18, 2015",The SSE Hydro,"Glasgow, Scotland, U.K.","10,451"
327,UFC Fight Night: Mir vs. Duffee,"Jul 15, 2015",Valley View Casino Center,"San Diego, California, U.S.","5,471"
326,The Ultimate Fighter: American Top Team vs. Blackzilians Finale,"Jul 12, 2015",MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","4,844"
325,UFC 189: Mendes vs. McGregor,"Jul 11, 2015",,,"16,019"
324,UFC Fight Night: Machida vs. Romero,"Jun 27, 2015",Seminole Hard Rock Hotel and Casino,"Hollywood, Florida, U.S.","5,604"
323,UFC Fight Night: Jędrzejczyk vs. Penne,"Jun 20, 2015",O2 World,"Berlin, Germany","8,155"
322,UFC 188: Velasquez vs. Werdum,"Jun 13, 2015",Arena Ciudad de México,"Mexico City, Mexico","21,036"
321,UFC Fight Night: Boetsch vs. Henderson,"Jun 6, 2015",Smoothie King Center,"New Orleans, Louisiana, U.S.","6,231"
320,UFC Fight Night: Condit vs. Alves,"May 30, 2015",Goiânia Arena,"Goiânia, Brazil","3,500"
319,UFC 187: Johnson vs. Cormier,"May 23, 2015",MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","12,615"
318,UFC Fight Night: Edgar vs. Faber,"May 16, 2015",Mall of Asia Arena,"Pasay, Philippines","13,446"
317,UFC Fight Night: Miocic vs. Hunt,"May 10, 2015",Adelaide Entertainment Centre,"Adelaide, Australia","7,984"
316,UFC 186: Johnson vs. Horiguchi,"Apr 25, 2015",Bell Centre,"Montreal, Quebec, Canada","10,154"
315,UFC on Fox: Machida vs. Rockhold,"Apr 18, 2015",Prudential Center,"Newark, New Jersey, U.S.","13,306"
314,UFC Fight Night: Gonzaga vs. Cro Cop 2,"Apr 11, 2015",Tauron Arena Kraków,"Kraków, Poland","10,000"
313,UFC Fight Night: Mendes vs. Lamas,"Apr 4, 2015",Patriot Center,"Fairfax, Virginia, U.S.","5,417"
312,UFC Fight Night: Maia vs. LaFlare,"Mar 21, 2015",Ginásio do Maracanãzinho,"Rio de Janeiro, Brazil","7,707"
311,UFC 185: Pettis vs. dos Anjos,"Mar 14, 2015",American Airlines Center,"Dallas, Texas, U.S.","17,160"
310,UFC 184: Rousey vs. Zingano,"Feb 28, 2015",Staples Center,"Los Angeles, California, U.S.","17,654"
309,UFC Fight Night: Bigfoot vs. Mir,"Feb 22, 2015",Ginásio Gigantinho,"Porto Alegre, Brazil","5,080"
308,UFC Fight Night: Henderson vs. Thatch,"Feb 14, 2015",1stBank Center,"Broomfield, Colorado, U.S.","5,807"
307,UFC 183: Silva vs. Diaz,"Jan 31, 2015",MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","13,114"
306,UFC on Fox: Gustafsson vs. Johnson,"Jan 24, 2015",Tele2 Arena,"Stockholm, Sweden","30,000"
305,UFC Fight Night: McGregor vs. Siver,"Jan 18, 2015",TD Garden,"Boston, Massachusetts, U.S.","13,828"
304,UFC 182: Jones vs. Cormier,"Jan 3, 2015",MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","11,575"
303,UFC Fight Night: Machida vs. Dollaway,"Dec 20, 2014",Ginásio José Corrêa,"Barueri, Brazil",N/A
302,UFC on Fox: dos Santos vs. Miocic,"Dec 13, 2014",Talking Stick Resort Arena,"Phoenix, Arizona, U.S.","15,300"
301,The Ultimate Fighter: A Champion Will Be Crowned Finale,"Dec 12, 2014",Palms Casino Resort,"Las Vegas, Nevada, U.S.","1,800"
300,UFC 181: Hendricks vs. Lawler II,"Dec 6, 2014",Mandalay Bay Events Center,,"9,617"
299,UFC Fight Night: Edgar vs. Swanson,"Nov 22, 2014",Frank Erwin Center,"Austin, Texas, U.S.","10,131"
298,UFC 180: Werdum vs. Hunt,"Nov 15, 2014",Arena Ciudad de México,"Mexico City, Mexico","21,000"
297,UFC Fight Night: Shogun vs. Saint Preux,"Nov 8, 2014",Ginásio Municipal Tancredo Neves,"Uberlândia, Brazil","5,671"
296,UFC Fight Night: Rockhold vs. Bisping,,Allphones Arena,"Sydney, Australia","9,904"
295,UFC 179: Aldo vs. Mendes 2,"Oct 25, 2014",Ginásio do Maracanãzinho,"Rio de Janeiro, Brazil","11,415"
294,UFC Fight Night: MacDonald vs. Saffiedine,"Oct 4, 2014",Scotiabank Centre,"Halifax, Nova Scotia, Canada","10,782"
293,UFC Fight Night: Nelson vs. Story,,Ericsson Globe Arena,"Stockholm, Sweden","10,026"
292,UFC 178: Johnson vs. Cariaso,"Sep 27, 2014",MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","10,544"
291,UFC Fight Night: Hunt vs. Nelson,"Sep 20, 2014",Saitama Super Arena,"Saitama, Japan","12,395"
290,UFC Fight Night: Bigfoot vs. Arlovski,"Sep 13, 2014",Ginásio Nilson Nelson,"Brasília, Brazil","8,822"
289,UFC Fight Night: Jacaré vs. Mousasi,"Sep 5, 2014",Foxwoods Resort Casino,"Mashantucket, Connecticut, U.S.","4,086"
288,UFC 177: Dillashaw vs. Soto,"Aug 30, 2014",Sleep Train Arena,"Sacramento, California, U.S.","11,100"
287,UFC Fight Night: Henderson vs. dos Anjos,"Aug 23, 2014",BOK Center,"Tulsa, Oklahoma, U.S.","7,119"
286,UFC Fight Night: Bisping vs. Le,,CotaiArena,"Macau, SAR, China","7,022"
285,UFC Fight Night: Bader vs. Saint Preux,"Aug 16, 2014",Cross Insurance Center,"Bangor, Maine, U.S.","5,329"
—,UFC 176: Aldo vs. Mendes II,"Aug 2, 2014",Staples Center,"Los Angeles, California, U.S.",Cancelled
284,UFC on Fox: Lawler vs. Brown,"Jul 26, 2014",SAP Center,"San Jose, California, U.S.","11,482"
283,UFC Fight Night: McGregor vs. Brandao,"Jul 19, 2014",The O2,"Dublin, Ireland","9,500"
282,UFC Fight Night: Cowboy vs. Miller,"Jul 16, 2014",Revel Casino Hotel,"Atlantic City, New Jersey, U.S.","4,115"
281,The Ultimate Fighter: Team Edgar vs. Team Penn Finale,"Jul 6, 2014",Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.","6,500"
280,UFC 175: Weidman vs. Machida,"Jul 5, 2014",,,"10,088"
279,UFC Fight Night: Swanson vs. Stephens,"Jun 28, 2014",AT&T Center,"San Antonio, Texas, U.S.","9,227"
278,UFC Fight Night: Te Huna vs. Marquardt,,Vector Arena,"Auckland, New Zealand","8,089"
277,UFC 174: Johnson vs. Bagautinov,"Jun 14, 2014",Rogers Arena,"Vancouver, British Columbia, Canada","13,506"
276,UFC Fight Night: Henderson vs. Khabilov,"Jun 7, 2014",Tingley Coliseum,"Albuquerque, New Mexico, U.S.","8,775"
275,The Ultimate Fighter Brazil 3 Finale: Miocic vs. Maldonado,"May 31, 2014",Ginásio do Ibirapuera,"São Paulo, Brazil","8,986"
274,UFC Fight Night: Muñoz vs. Mousasi,,O2 World,"Berlin, Germany","8,000"
273,UFC 173: Barão vs. Dillashaw,"May 24, 2014",MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","11,036"
272,UFC Fight Night: Brown vs. Silva,"May 10, 2014",U.S. Bank Arena,"Cincinnati, Ohio, U.S.","6,143"
271,UFC 172: Jones vs. Teixeira,"Apr 26, 2014",Baltimore Arena,"Baltimore, Maryland, U.S.","13,485"
270,UFC on Fox: Werdum vs. Browne,"Apr 19, 2014",Amway Center,"Orlando, Florida, U.S.","17,000"
269,The Ultimate Fighter Nations Finale: Bisping vs. Kennedy,"Apr 16, 2014",Colisée Pepsi,"Quebec City, Quebec, Canada","5,029"
268,UFC Fight Night: Nogueira vs. Nelson,"Apr 11, 2014",du Arena,"Abu Dhabi, United Arab Emirates","7,963"
267,UFC Fight Night: Shogun vs. Henderson 2,"Mar 23, 2014",Ginásio Nélio Dias,"Natal, Brazil","6,828"
266,UFC 171: Hendricks vs. Lawler,"Mar 15, 2014",American Airlines Center,"Dallas, Texas, U.S.","19,324"
265,UFC Fight Night: Gustafsson vs. Manuwa,"Mar 8, 2014",The O2 Arena,"London, England, U.K.","14,604"
264,The Ultimate Fighter China Finale: Kim vs. Hathaway,"Mar 1, 2014",CotaiArena,"Macau, SAR, China","6,000"
263,UFC 170: Rousey vs. McMann,"Feb 22, 2014",Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.","10,217"
262,UFC Fight Night: Machida vs. Mousasi,"Feb 15, 2014",Arena Jaraguá,"Jaraguá do Sul, Brazil","7,511"
261,UFC 169: Barão vs. Faber II,"Feb 1, 2014",Prudential Center,"Newark, New Jersey, U.S.","14,308"
260,UFC on Fox: Henderson vs. Thomson,"Jan 25, 2014",United Center,"Chicago, Illinois, U.S.","10,895"
259,UFC Fight Night: Rockhold vs. Philippou,"Jan 15, 2014",Arena at Gwinnett Center,"Duluth, Georgia, U.S.","5,822"
258,UFC Fight Night: Saffiedine vs. Lim,"Jan 4, 2014",Marina Bay Sands,"Marina Bay, Singapore","5,216"
257,UFC 168: Weidman vs. Silva 2,"Dec 28, 2013",MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","15,650"
256,UFC on Fox: Johnson vs. Benavidez 2,"Dec 14, 2013",Sleep Train Arena,"Sacramento, California, U.S.","11,573"
255,UFC Fight Night: Hunt vs. Bigfoot,"Dec 7, 2013",Brisbane Entertainment Centre,"Brisbane, Australia","11,393"
254,The Ultimate Fighter: Team Rousey vs. Team Tate Finale,"Nov 30, 2013",Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.","4,853"
253,UFC 167: St-Pierre vs. Hendricks,"Nov 16, 2013",MGM Grand Garden Arena,,"14,856"
252,UFC Fight Night: Belfort vs. Henderson,"Nov 9, 2013",Goiânia Arena,"Goiânia, Brazil","10,565"
251,UFC: Fight for the Troops 3,"Nov 6, 2013",Fort Campbell,"Fort Campbell, Kentucky, U.S.",N/A
250,UFC Fight Night: Machida vs. Muñoz,"Oct 26, 2013",Phones 4u Arena,"Manchester, England, U.K.","10,355"
249,UFC 166: Velasquez vs. dos Santos III,"Oct 19, 2013",Toyota Center,"Houston, Texas, U.S.","17,238"
248,UFC Fight Night: Maia vs. Shields,"Oct 9, 2013",Ginásio José Corrêa,"Barueri, Brazil","6,621"
247,UFC 165: Jones vs. Gustafsson,"Sep 21, 2013",Air Canada Centre,"Toronto, Ontario, Canada","15,504"
246,UFC Fight Night: Teixeira vs. Bader,"Sep 4, 2013",Mineirinho Arena,"Belo Horizonte, Brazil","5,126"
245,UFC 164: Henderson vs. Pettis,"Aug 31, 2013",BMO Harris Bradley Center,"Milwaukee, Wisconsin, U.S.","9,178"
244,UFC Fight Night: Condit vs. Kampmann 2,"Aug 28, 2013",Bankers Life Fieldhouse,"Indianapolis, Indiana, U.S.","6,417"
243,UFC Fight Night: Shogun vs. Sonnen,"Aug 17, 2013",TD Garden,"Boston, Massachusetts, U.S.","14,181"
242,UFC 163: Aldo vs. Korean Zombie,"Aug 3, 2013",HSBC Arena,"Rio de Janeiro, Brazil","13,873"
241,UFC on Fox: Johnson vs. Moraga,"Jul 27, 2013",KeyArena,"Seattle, Washington, U.S.","8,967"
240,UFC 162: Silva vs. Weidman,"Jul 6, 2013",MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","12,964"
239,UFC 161: Evans vs. Henderson,"Jun 15, 2013",MTS Centre,"Winnipeg, Manitoba, Canada","14,754"
238,UFC on Fuel TV: Nogueira vs. Werdum,"Jun 8, 2013",Ginásio Paulo Sarasate,"Fortaleza, Brazil","6,286"
237,UFC 160: Velasquez vs. Bigfoot 2,"May 25, 2013",MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","12,380"
236,UFC on FX: Belfort vs. Rockhold,"May 18, 2013",Arena Jaraguá,"Jaraguá do Sul, Brazil","7,642"
235,UFC 159: Jones vs. Sonnen,"Apr 27, 2013",Prudential Center,"Newark, New Jersey, U.S.","15,227"
234,UFC on Fox: Henderson vs. Melendez,"Apr 20, 2013",HP Pavilion,"San Jose, California, U.S.","13,506"
233,The Ultimate Fighter: Team Jones vs. Team Sonnen Finale,"Apr 13, 2013",Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.","5,918"
232,UFC on Fuel TV: Mousasi vs. Latifi,"Apr 6, 2013",Ericsson Globe Arena,"Stockholm, Sweden","14,506"
231,UFC 158: St-Pierre vs. Diaz,"Mar 16, 2013",Bell Centre,"Montreal, Quebec, Canada","20,145"
230,UFC on Fuel TV: Silva vs. Stann,"Mar 3, 2013",Saitama Super Arena,"Saitama, Japan","14,682"
229,UFC 157: Rousey vs. Carmouche,"Feb 23, 2013",Honda Center,"Anaheim, California, U.S.","13,257"
228,UFC on Fuel TV: Barão vs. McDonald,"Feb 16, 2013",Wembley Arena,"London, England, U.K.","10,349"
227,UFC 156: Aldo vs. Edgar,"Feb 2, 2013",Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.","10,275"
226,UFC on Fox: Johnson vs. Dodson,"Jan 26, 2013",United Center,"Chicago, Illinois, U.S.","16,091"
225,UFC on FX: Belfort vs. Bisping,"Jan 19, 2013",Ginásio do Ibirapuera,"São Paulo, Brazil","9,116"
224,UFC 155: dos Santos vs. Velasquez 2,"Dec 29, 2012",MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","13,561"
223,The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,"Dec 15, 2012",Hard Rock Hotel and Casino,,"2,500"
222,UFC on FX: Sotiropoulos vs. Pearson,,Gold Coast Convention and Exhibition Centre,"Gold Coast, Australia","5,133"
221,UFC on Fox: Henderson vs. Diaz,"Dec 8, 2012",KeyArena,"Seattle, Washington, U.S.","14,387"
220,UFC 154: St-Pierre vs. Condit,"Nov 17, 2012",Bell Centre,"Montreal, Quebec, Canada","17,249"
219,UFC on Fuel TV: Franklin vs. Le,"Nov 10, 2012",CotaiArena,"Macau, SAR, China","8,415"
218,UFC 153: Silva vs. Bonnar,"Oct 13, 2012",HSBC Arena,"Rio de Janeiro, Brazil","16,844"
217,UFC on FX: Browne vs. Bigfoot,"Oct 5, 2012",Target Center,"Minneapolis, Minnesota, U.S.","7,049"
216,UFC on Fuel TV: Struve vs. Miocic,"Sep 29, 2012",Capital FM Arena,"Nottingham, England, U.K.","7,241"
215,UFC 152: Jones vs. Belfort,"Sep 22, 2012",Air Canada Centre,"Toronto, Ontario, Canada","16,800"
—,UFC 151: Jones vs. Henderson,"Sep 1, 2012",Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.",Cancelled
214,UFC 150: Henderson vs. Edgar II,"Aug 11, 2012",Pepsi Center,"Denver, Colorado, U.S.","13,027"
213,UFC on Fox: Shogun vs. Vera,"Aug 4, 2012",Staples Center,"Los Angeles, California, U.S.","16,080"
212,UFC 149: Faber vs. Barão,"Jul 21, 2012",Scotiabank Saddledome,"Calgary, Alberta, Canada","16,089"
211,UFC on Fuel TV: Muñoz vs. Weidman,"Jul 11, 2012",HP Pavilion,"San Jose, California, U.S.","4,250"
210,UFC 148: Silva vs. Sonnen II,"Jul 7, 2012",MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","15,104"
209,UFC 147: Silva vs. Franklin II,"Jun 23, 2012",Mineirinho Arena,"Belo Horizonte, Brazil","16,643"
208,UFC on FX: Maynard vs. Guida,"Jun 22, 2012",Revel Casino Hotel,"Atlantic City, New Jersey, U.S.","4,652"
207,UFC on FX: Johnson vs. McCall 2,"Jun 8, 2012",BankAtlantic Center,"Sunrise, Florida, U.S.","6,635"
206,The Ultimate Fighter: Live Finale,"Jun 1, 2012",Palms Casino Resort,"Las Vegas, Nevada, U.S.","1,628"
205,UFC 146: dos Santos vs. Mir,"May 26, 2012",MGM Grand Garden Arena,,"14,674"
204,UFC on Fuel TV: The Korean Zombie vs. Poirier,"May 15, 2012",Patriot Center,"Fairfax, Virginia, U.S.","6,668"
203,UFC on Fox: Diaz vs. Miller,"May 5, 2012",IZOD Center,"East Rutherford, New Jersey, U.S.","10,788"
202,UFC 145: Jones vs. Evans,"Apr 21, 2012",Philips Arena,"Atlanta, Georgia, U.S.","15,545"
201,UFC on Fuel TV: Gustafsson vs. Silva,"Apr 14, 2012",Ericsson Globe Arena,"Stockholm, Sweden","15,428"
200,UFC on FX: Alves vs. Kampmann,"Mar 3, 2012",Allphones Arena,"Sydney, Australia","14,537"
199,UFC 144: Edgar vs. Henderson,"Feb 26, 2012",Saitama Super Arena,"Saitama, Japan","21,000"
198,UFC on Fuel TV: Sanchez vs. Ellenberger,"Feb 15, 2012",Omaha Civic Auditorium,"Omaha, Nebraska, U.S.","6,283"
197,UFC 143: Diaz vs. Condit,"Feb 4, 2012",Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.","9,015"
196,UFC on Fox: Evans vs. Davis,"Jan 28, 2012",United Center,"Chicago, Illinois, U.S.","16,963"
195,UFC on FX: Guillard vs. Miller,"Jan 20, 2012",Bridgestone Arena,"Nashville, Tennessee, U.S.","7,728"
194,UFC 142: Aldo vs. Mendes,"Jan 14, 2012",HSBC Arena,"Rio de Janeiro, Brazil","10,605"
193,UFC 141: Lesnar vs. Overeem,"Dec 30, 2011",MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","13,793"
192,UFC 140: Jones vs. Machida,"Dec 10, 2011",Air Canada Centre,"Toronto, Ontario, Canada","18,303"
191,The Ultimate Fighter: Team Bisping vs. Team Miller Finale,"Dec 3, 2011",Palms Casino Resort,"Las Vegas, Nevada, U.S.","1,909"
190,UFC 139: Shogun vs. Henderson,"Nov 19, 2011",HP Pavilion,"San Jose, California, U.S.","13,832"
189,UFC on Fox: Velasquez vs. dos Santos,"Nov 12, 2011",Honda Center,"Anaheim, California, U.S.","11,607"
188,UFC 138: Leben vs. Muñoz,"Nov 5, 2011",LG Arena,"Birmingham, England, U.K.","10,823"
187,UFC 137: Penn vs. Diaz,"Oct 29, 2011",Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.","10,313"
186,UFC 136: Edgar vs. Maynard III,"Oct 8, 2011",Toyota Center,"Houston, Texas, U.S.","16,164"
185,UFC Live: Cruz vs. Johnson,"Oct 1, 2011",Verizon Center,"Washington, D.C., U.S.","9,380"
184,UFC 135: Jones vs. Rampage,"Sep 24, 2011",Pepsi Center,"Denver, Colorado, U.S.","16,344"
183,UFC Fight Night: Shields vs. Ellenberger,"Sep 17, 2011",Ernest N. Morial Convention Center,"New Orleans, Louisiana, U.S.","7,112"
182,UFC 134: Silva vs. Okami,"Aug 27, 2011",HSBC Arena,"Rio de Janeiro, Brazil","14,000"
181,UFC Live: Hardy vs. Lytle,"Aug 14, 2011",Bradley Center,"Milwaukee, Wisconsin, U.S.","6,751"
180,UFC 133: Evans vs. Ortiz,"Aug 6, 2011",Wells Fargo Center,"Philadelphia, Pennsylvania, U.S.","11,583"
179,UFC 132: Cruz vs. Faber,"Jul 2, 2011",MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","13,109"
178,UFC Live: Kongo vs. Barry,"Jun 26, 2011",Consol Energy Center,"Pittsburgh, Pennsylvania, U.S.","7,792"
177,UFC 131: dos Santos vs. Carwin,"Jun 11, 2011",Rogers Arena,"Vancouver, British Columbia, Canada","14,685"
176,The Ultimate Fighter: Team Lesnar vs. Team dos Santos Finale,"Jun 4, 2011",Palms Casino Resort,"Las Vegas, Nevada, U.S.","2,053"
175,UFC 130: Rampage vs. Hamill,"May 28, 2011",MGM Grand Garden Arena,,"12,753"
174,UFC 129: St-Pierre vs. Shields,"Apr 30, 2011",Rogers Centre,"Toronto, Ontario, Canada","55,724"
173,UFC Fight Night: Nogueira vs. Davis,"Mar 26, 2011",KeyArena,"Seattle, Washington, U.S.","13,741"
172,UFC 128: Shogun vs. Jones,"Mar 19, 2011",Prudential Center,"Newark, New Jersey, U.S.","12,619"
171,UFC Live: Sanchez vs. Kampmann,"Mar 3, 2011",KFC Yum! Center,"Louisville, Kentucky, U.S.","8,319"
170,UFC 127: Penn vs. Fitch,"Feb 27, 2011",Acer Arena,"Sydney, Australia","18,186"
169,UFC 126: Silva vs. Belfort,"Feb 5, 2011",Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.","10,893"
168,UFC: Fight for the Troops 2,"Jan 22, 2011",Fort Hood,"Fort Hood, Texas, U.S.","3,200"
167,UFC 125: Resolution,"Jan 1, 2011",MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","12,874"
166,UFC 124: St-Pierre vs. Koscheck 2,"Dec 11, 2010",Bell Centre,"Montreal, Quebec, Canada","23,152"
165,The Ultimate Fighter: Team GSP vs. Team Koscheck Finale,"Dec 4, 2010",Palms Casino Resort,"Las Vegas, Nevada, U.S.","1,903"
164,UFC 123: Rampage vs. Machida,"Nov 20, 2010",The Palace of Auburn Hills,"Auburn Hills, Michigan, U.S.","16,404"
163,UFC 122: Marquardt vs. Okami,"Nov 13, 2010",König Pilsener Arena,"Oberhausen, Germany","8,421"
162,UFC 121: Lesnar vs. Velasquez,"Oct 23, 2010",Honda Center,"Anaheim, California, U.S.","14,856"
161,UFC 120: Bisping vs. Akiyama,"Oct 16, 2010",The O2 arena,"London, England, U.K.","17,133"
160,UFC 119: Mir vs. Cro Cop,"Sep 25, 2010",Conseco Fieldhouse,"Indianapolis, Indiana, U.S.","15,811"
159,UFC Fight Night: Marquardt vs. Palhares,"Sep 15, 2010",Frank Erwin Center,"Austin, Texas, U.S.","7,724"
158,UFC 118: Edgar vs. Penn 2,"Aug 28, 2010",TD Garden,"Boston, Massachusetts, U.S.","14,168"
157,UFC 117: Silva vs. Sonnen,"Aug 7, 2010",Oracle Arena,"Oakland, California, U.S.","12,971"
156,UFC Live: Jones vs. Matyushenko,"Aug 1, 2010",San Diego Sports Arena,"San Diego, California, U.S.","8,132"
155,UFC 116: Lesnar vs. Carwin,"Jul 3, 2010",MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","12,740"
154,The Ultimate Fighter: Team Liddell vs. Team Ortiz Finale,"Jun 19, 2010",Palms Casino Resort,,"1,708"
153,UFC 115: Liddell vs. Franklin,"Jun 12, 2010",General Motors Place,"Vancouver, British Columbia, Canada","17,669"
152,UFC 114: Rampage vs. Evans,"May 29, 2010",MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","14,996"
151,UFC 113: Machida vs. Shogun 2,"May 8, 2010",Bell Centre,"Montreal, Quebec, Canada","17,647"
150,UFC 112: Invincible,"Apr 10, 2010","Concert Arena, Yas Island","Abu Dhabi, United Arab Emirates","11,008"
149,UFC Fight Night: Florian vs. Gomi,"Mar 31, 2010",Bojangles Coliseum,"Charlotte, North Carolina, U.S.","7,700"
148,UFC 111: St-Pierre vs. Hardy,"Mar 27, 2010",Prudential Center,"Newark, New Jersey, U.S.","17,000"
147,UFC Live: Vera vs. Jones,"Mar 21, 2010",1stBank Center,"Broomfield, Colorado, U.S.","6,443"
146,UFC 110: Nogueira vs. Velasquez,"Feb 21, 2010",Acer Arena,"Sydney, Australia","17,831"
145,UFC 109: Relentless,"Feb 6, 2010",Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.","10,753"
144,UFC Fight Night: Maynard vs. Diaz,"Jan 11, 2010",Patriot Center,"Fairfax, Virginia, U.S.","8,078"
143,UFC 108: Evans vs. Silva,"Jan 2, 2010",MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","13,529"
142,UFC 107: Penn vs. Sanchez,"Dec 12, 2009",FedExForum,"Memphis, Tennessee, U.S.","13,896"
141,The Ultimate Fighter: Heavyweights Finale,"Dec 5, 2009",Palms Casino Resort,"Las Vegas, Nevada, U.S.","1,791"
140,UFC 106: Ortiz vs. Griffin 2,"Nov 21, 2009",Mandalay Bay Events Center,,"10,529"
139,UFC 105: Couture vs. Vera,"Nov 14, 2009",Manchester Evening News Arena,"Manchester, England, U.K.","16,693"
138,UFC 104: Machida vs. Shogun,"Oct 24, 2009",Staples Center,"Los Angeles, California, U.S.","14,892"
137,UFC 103: Franklin vs. Belfort,"Sep 19, 2009",American Airlines Center,"Dallas, Texas, U.S.","17,428"
136,UFC Fight Night: Diaz vs. Guillard,"Sep 16, 2009",Cox Convention Center,"Oklahoma City, Oklahoma, U.S.","9,490"
135,UFC 102: Couture vs. Nogueira,"Aug 29, 2009",Rose Garden,"Portland, Oregon, U.S.","16,088"
134,UFC 101: Declaration,"Aug 8, 2009",Wachovia Center,"Philadelphia, Pennsylvania, U.S.","17,411"
133,UFC 100,"Jul 11, 2009",Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.","10,871"
132,The Ultimate Fighter: United States vs. United Kingdom Finale,"Jun 20, 2009",Palms Casino Resort,,"2,217"
131,UFC 99: The Comeback,"Jun 13, 2009",Lanxess Arena,"Cologne, Germany","12,854"
130,UFC 98: Evans vs. Machida,"May 23, 2009",MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","12,606"
129,UFC 97: Redemption,"Apr 18, 2009",Bell Centre,"Montreal, Quebec, Canada","21,451"
